tau,h,optimalh_k_ICS,optimalh_I_CS,optimalh_k_ICX,optimalh_I_CX
600.0,1.6683417085427137,3.1622776601683795e-05,1.5826256733841322,3.1622776601683795e-05,1.2878792500967997
600.0,1.763819095477387,3.1622776601683795e-05,1.4845018218664685,3.1622776601683795e-05,1.178814676614211
600.0,1.8592964824120601,3.1622776601683795e-05,1.5786403667319666,3.1622776601683795e-05,1.284724344610848
600.0,1.9547738693467336,3.1622776601683795e-05,1.4795344054066286,3.1622776601683795e-05,1.1784315529472775
600.0,2.050251256281407,3.1622776601683795e-05,1.5746560237794966,3.1622776601683795e-05,1.2814996861948118
600.0,2.1457286432160805,3.1622776601683795e-05,1.4744121294963797,3.1622776601683795e-05,1.177890885208746
600.0,2.241206030150754,3.1622776601683795e-05,1.5707578269949747,3.1622776601683795e-05,1.2782219947568716
600.0,2.3366834170854274,3.1622776601683795e-05,1.4694730874915203,3.1622776601683795e-05,1.1772580434128614
600.0,2.4321608040201004,3.1622776601683795e-05,1.5669877930920328,3.1622776601683795e-05,1.274899057634962
600.0,2.527638190954774,3.1622776601683795e-05,1.464976854590328,3.1622776601683795e-05,1.1765842288638013
600.0,2.6231155778894473,3.1622776601683795e-05,1.5633214559781603,3.1622776601683795e-05,1.2715271599040854
600.0,2.7185929648241203,3.1622776601683795e-05,1.461052561525011,3.1622776601683795e-05,1.1758896545823854
600.0,2.8140703517587937,3.1622776601683795e-05,1.5596894981520486,3.1622776601683795e-05,1.2680954305640446
600.0,2.909547738693467,3.1622776601683795e-05,1.4576583714935696,3.1622776601683795e-05,1.1751594210267597
600.0,3.0050251256281406,3.1622776601683795e-05,1.5560210952344677,3.1622776601683795e-05,1.2645934356432087
600.0,3.100502512562814,3.1622776601683795e-05,1.454586137216039,3.1622776601683795e-05,1.1743563445725522
600.0,3.1959798994974875,3.1622776601683795e-05,1.5522809096276697,3.1622776601683795e-05,1.2610174299121644
600.0,3.291457286432161,3.1622776601683795e-05,1.4515546060646414,3.1622776601683795e-05,1.1734422499309378
600.0,3.386934673366834,3.1622776601683795e-05,1.5484819623288382,3.1622776601683795e-05,1.2573722056487775
600.0,3.4824120603015074,3.1622776601683795e-05,1.4483485399223657,3.1622776601683795e-05,1.1723957026668406
600.0,3.577889447236181,3.1622776601683795e-05,1.5446694011189475,3.1622776601683795e-05,1.2536681195844783
600.0,3.6733668341708543,3.1622776601683795e-05,1.4449157901657608,3.1622776601683795e-05,1.1712202851247686
600.0,3.7688442211055277,3.1622776601683795e-05,1.540886096821267,3.1622776601683795e-05,1.2499154423248493
600.0,3.8643216080402008,3.1622776601683795e-05,1.4413678497304052,3.1622776601683795e-05,1.1699429001944317
600.0,3.959798994974874,3.1622776601683795e-05,1.5371434143603142,3.1622776601683795e-05,1.246119496483386
600.0,4.055276381909548,3.1622776601683795e-05,1.437898284172373,3.1622776601683795e-05,1.1686025306201158
600.0,4.150753768844221,3.1622776601683795e-05,1.5334160161583021,3.1622776601683795e-05,1.2422792853019546
600.0,4.2462311557788945,3.1622776601683795e-05,1.4346821326819275,3.1622776601683795e-05,1.1672336387390374
600.0,4.341708542713567,3.1622776601683795e-05,1.5296603315914536,3.1622776601683795e-05,1.2383898799613688
600.0,4.4371859296482405,3.1622776601683795e-05,1.4318085773412883,3.1622776601683795e-05,1.165853102387295
600.0,4.532663316582914,3.1622776601683795e-05,1.5258410729208873,3.1622776601683795e-05,1.2344466105270018
600.0,4.628140703517587,3.1622776601683795e-05,1.4292575218519379,3.1622776601683795e-05,1.1644568332611687
600.0,4.723618090452261,3.1622776601683795e-05,1.5219494519656442,3.1622776601683795e-05,1.2304485567835663
